Cluster ID,Cluster Name,Feature List
1,Aesthetic Change,"change aesthetic, change, change way"
2,Doubt Clarification,"clarify doubt, clarify all doubt"
3,Need More Tokens,"need more token, great but need"
4,Question and Answer,"well answer, answer"
5,Time Management,"have up, have only about an hour, have off day"
6,AI Assistive Technology,"want useful ai, want ai, ask ai"
7,Artificial Intelligence,"most friendly ai, very good ai, good ai, impressive ai, good ai application, very user friendly ai, really awesome ai, ai, very good ai utilization, exceptionally advanced ai"
8,Artificial Intelligence,"see ai, see way"
9,Appointment Setting,"set apppintment, and set"
10,Loss of Functionality,"lose great functionality, lose context, lose personality, lose previous conversation, lose friend, lose all privacy, lose huge chunk, lose access, lose war, lose important part, lose all chat history, lose chat history, lose history, lose liveliness, lose gpt4"
11,AI App,"follow simple instruction, follow own setting, follow one policy, know previous history, provide detailed information, provide information, provide false information, provide great result, provide reference, provide pdf, provide most comprehensive answer, provide answer, provide fairly accurate answer, provide exact answer, provide how few or many prompt, provide solution, provide simple response, provide many more insight, provide pro, provide feature, provide app, provide source, support landscape mode, support why material, attend request, refuse request, serve purpose, receive precise and helpful answer, receive message, bring app, bring previous app, bring old ui, bring more news, bring separate conversation, bring old feature, bring feature, bring old type, bring sense, bring issue, bring old version, bring previous version, bring last version, bring element, bring good ui, leave microsoft, leave feedback, leave negative impression, take screenshot, take earbud, take advice, take review, take copilot text, take moment, take time, take substantial processing power, take ability, take control, take lot, take money, take detail, take voice command, take care, take picture, take photo, take so much functionality, take voice input, take function, take next step, take all practicality, take offence, take up to about10k char, give excellent response, give more complete response, give suggestion, give good suggestion, give specific detail, give shot, give more than one image, give lot opportunity, give insight, give idea, give permission, give purpose, give more personality, give instruction, give whole wrong script, give setting option, give option, give choice, give lot, give correct thing, give break, give bad answer, give answer, give long detailed answer, give simple answer, give incorrect answer, give accurate answer, give wrong answer, give proper answer, give simplify dumb answer, give weird answer, give short and clear answer, give correct answer, give question answer, give very simple answer, give message, give big help, give such help, give chance, give vibrant company, give website resource, give user, give graphical and mathematical output, give more credit, give command, give so much depth, give small200character paragraph, give cool yet informal feature, give infinite star, give four star, give high rating, give one pic, give old app, give old ui, give copy, give helpful information, give even information, give very shallow information, give all information, give information, give incorrect information, give most relevant information, give valid information, give election information, give much information, give update info, give result, give new result, give correct, give rom hack, give current temp, give verb, give old copiolt, give exact source, give source, admit lack, tell all answer, tell weather, save so much time, save considerable time, save conversation, save money, save image, save random crash, save previous chat, save life, save date, save alot, save datum, help student, fix bug, fix thing, fix image loading time, fix problem, fix response, fix issue, fix voice search, fix october update, accept response, check work, check input, check fact, check information, check website, read answer feature, read text, read image, read response, read answer, read simple qr code, read mind, pick thing, pick voice, choose voice, enjoy application, enjoy interaction, enjoy work, enjoy ols version, enjoy app, prepare prompt, enhance knowledge, enhance learning, enhance user experience, divide conversation, restrict free speech, affect listen capability, require more human effort, require force close, charge wrong fee, type entire question, exceed expectation, lack basic functionality, lack setting, bother people, catch full question, brings voice, raise error, keep record, keep certain information, keep thing, keep conversation, keep great work, keep good work, appreciate new version, appreciate excellent customer service, good fine tune ai, prefer slightly robotic tone, prefer original voice, prefer last version, prefer old version, prefer chatgpt, get feature, get five star, get far well detailed significant and extremely useful response, get well qualitive response, get response, get natural usefully response, get smart reply, get solution, get clarity, get masterpiece, get new friend, get rapid timely answer, get mathematical answer, get more accurate answer, get detailed answer, get correct answer, get quick answer, get answer, get help, get one picture, get maybe one image, get so little use, get pdf upload option, get assistance, get information, get quick data information, get reference, get refund, put relevant picture, put photo, put artificial intelligence capability, put file, allow political and other question, avoid answer, enable chat pin, enable voice feature, grow reach, make time, make mistake, make expression, make necessary change, make more photo, make picture, make many image, make image, make sense, make argument, make inaccurate calculation, make bad version, make app, make perfect assistant, make widget, make material you theme, remove copilot button, remove app, remove thing, remove lot, remove ability, remove model ability, remove convenience, remove image generation limit, remove option, remove share functionality, remove unnecessary vibration feedback, remove image file insert, remove notebook feature, remove picture sharing feature, remove prestige experience, remove why remove ability, remove source, understand topic, understand assignment, understand style, understand thing, understand mathematical expression, understand prompt, understand difference, explain topic, explain problem, discuss topic, discuss above statement, have conversation, have faux conversation, have intellectual conversation, have funny conversation, have voice conversation, have one continual conversation, have persistent memory, have more voice, have time, have hard time, have user friendly interface, have terrible and very uncomfy interface, have new smooth interface, have great interface, have connection, have less functionality, have reputation, have ability, have many limitation, have intention, have many restriction, have too many restriction, have time limit, have recommendation, have so many bug, have trouble, have lot, have office, have friend, have body, have personality disorder, have developmental disorder, have clear history option, have option, have gemini, have disadvantage, have serious bias, have such problem, have same problem, have problem, have voice chat support, have chance, have opportunity, have faith, have sense, have notebook mode, have mode, have battery, have feature, have more feature, have great feature, have exactly same feature, have incorrect age, have update list, have long list, have team, have new version, have afew issue, have same issue, have issue, have good experience, have similar experience, have awesome experience, have error, have dark text, have great quality, have new chat, have web search, have handsfree function, have way, have interal way, have oddity, have update, have excellent assistant, have difficulty, have fun, have easy language, have english, have interview, have alot, have more potential, have large datum, have good internet, have subscription, have adhd, have lot more feature, have strange broken pronunciation, have dyslexia, continue old conversation, continue conversation, continue tradition, continue next scene, presently on go bug, go bing website app, unable to talk and listen useless update, see formula, see new update, see text, see more development, see upload image, see response, see conversation, see opportunity, see word, see answer, see review, see future, see many ai bad behaviour, see ai generate text, cite reference, include own addition, include reference, use chatgpt, use gpt4, use bing or edge version, use bing, use microsoft office, use gemini, use gemini live, use claude, use tool, use old interface, use application, use microphone, use different device, use other login method, use software, use all thing, use other, use edge android app, use image generation, use mic, use correct key word, use ms word, use casual tone, use voice prompt, use previous default voice, use voice, use voice conversation, use speech talk, use phone, use time, use actual ai, use voice option, use different voice option, use voice mode, use audio feature, use voice feature, use voice interaction, use one, use old web version, use old version, use microsoft365app version, use old version fhen, use previous version, use text, use other service, use chat, use arc search browser, use app, use copilot app, use voice search, use account, use poe, use voice chat function, use camera, use google assistant, use different language, use local language, use platform, use more professional alternative, use website, use g, use co, use samsung galaxy s23ultra, use ai image creation, use gemini ai, use ai app, use voice chat, use microsoft proprietary llm, use websearch, use learning account, use microsoft copilot, use copilot, use university copilot, use generative ai, consider range, consider other ai module, add flexibility, add ability, add option, add call option, add simple method, add on, add voice, add feature, add new feature, add content, add relevant article, add button, add copy, add chat deletion opion, add shortcut, add like feature, add auto suggestion prompt, break app, break microphone option, release broken app, collect billing, collect massive amount, missing upload document, offer more comprehensive and engaging interaction, offer much functionality, cook meal, voice typing, download voice ai app, face too many issue, all in all good ai app, highlight ai knowledge, switch ai char bot, find over design ui, seek human like guide, give much more human like response, fix log in page, rate ai machine, nice ai feature, good ai app, improve vic chat, throw email, resolve issue, resolve problem, manage conversation, describe voice, describe creativity, examine document, identify eye color, explore topic, explore application, explore use, acquire information, bind previous experience, develop app, learn lot, learn new thing, teach little sister, introduce bug, pull picture, pull current datum, turn tool, try sample, try solution, try gpt4, try pay version, find old feature, find specific conversation, find info, find previous chat, find different app, find way, find book title, find suff, ask scientific and encouraging question, ask programming question, ask question, ask random question, ask new question, ask prompt, ask name, ask thing, ask app, ask about2or3question, ask long out put question, ask co pilot, say voice chat, say great app, say same thing, say thing, say time, answer simple question, answer single question, answer basic question, answer most question, answer complex question, answer specific question, answer all question, answer each and every question, do great job, do excellent job, do grunt work, do all trivial thing, do half stuff, do fraction question, do speech button, do internet search, do certain math equation, do incredible downgrade, do text, do art, ignore question, remind old logic, ruin own glory, ruin whole reason, ruin good product, hate ai, hate downgrade, hate new update, hate politic, need time, need serious checking, need random photo, need intuitive idea, need support, need work, need much work, need feature, need talk feature, need ais bill, need integration, need solution, need more improvement, need improvement, need more function, need way, need app, need widget, need quick quality caption, need very strong internet, need peruam, want tool, want accurate info, want much more direct conversion, want brief answer, want old versionn, want unique chatbot, it trash, she would alot, waste money, spend time, spend free time, spend couple, walk alo griver bank, hear generate response, hear response, hear plea, hear app answer"
12,Task Completion,"set image ratio, set timer, set two language"
13,Text Recognition,"recognise voice or text input, recognise local script, strip out feature, design new version, absolutely awful developmental backwards progress, not to mention poor sound quality, not to mention all thing, notice significant improvement, encounters annoying limitation, paid review"
14,AI for Business,"make ai picture, generate ai picture, best ai app, bad ai app, free ai app, ai useful tool, absolutely great ai ty microsoft, fulfill user need, very nice and user friendly application"
15,Human Relationship,"convert q, upgrade human relation"
