Cluster ID,Cluster Name,Feature List
1,Court SMS Problem,"bangladesh airtel sim login sms problem court, bangladesh airtel sim login court sms problem"
2,SMS Problem,"bangladesh robi sim login sms problem, bangladesh robi sim login court sms problem"
3,Secure Messaging,"bangladesh grameenphone sim login code sms problem, bangladesh grameenphone sim login cod sms problem"
4,Online Banking,"bangladesh gramin login sms problem, bangladesh login gramin sms problem, bangladeshi gramin login sms problem"
5,Banglalink SIM Verification Code Problem,"bangladesh banglalink verification code problem, bangladesh banglalink sim verification code problem"
6,Group Chat,"open short cut, open chat group, open tomato"
7,Secure Messaging App,"safe and secure messaging app, great messaging app, great messaging platform, good messaging app"
8,Still Replying,"so far reply, still reply, but reply, reply"
9,Telehealth,"get sim, get lot, get sort, get sm, get well rating, get otp, get codewhy"
10,Hacking,"understand hacking, bother installing"
11,App Earning,"great earning app, good earning app"
12,Joining a Streaming or Group,"join telegram group, join telegram, join streaming"
13,Bug Fix,"fix, fix telegram, fix connect issue"
14,Telegram,"telegram connect problem, connect thinh"
15,Help Desk,"plesa help, help, support help"
16,Feedback,"give feedback, give people"
17,Time Consuming,"take hour, take lot, take forever, take time"
18,Go IIIT Day,"go iiit, go day"
19,Secure Messaging,"ask4digit pin, pin message"
20,Collaboration,"add myday, add sir, add sharing"
21,Three Year Use,"use, use username, multiple use, use long year, use three year, wt use, easy to use and good app"
22,See Note,"see note, see lot"
23,Need,"why need, need otp, need, need gf, need telegram account, need people nearby option, need such bandwidth"
24,Emoji Blessing,"bless country, bless yu, pray all telegram, curse emoji, thank you, thank mr durov"
