Cluster ID,Cluster Name,Feature List
1,Feature,"have well feature, have feature"
2,Learning and Grading,"enhance learning, understand grading"
3,Clarify Doubt,"clarify doubt, clarify all doubt"
4,AI Chatbot,"see ai, make ai picture, ask ai, want useful ai, want ai, hate ai, most friendly ai, really awesome ai, ai, well ai, very user friendly ai, exceptionally advanced ai, good ai tool, lovely ai, so far pretty tight ai app"
5,Secure Private Messaging,"more finite chat, delete chat history"
6,Finance Associate Responsibility,"rewrite below finance associate responsibility, rewrite whole thing"
7,Redesigning App,"redesign app3star, upgrade human relation"
8,Copy and Paste,"copy own prompt, copy previous prompt, copy own message, copy ai, copy message man, copy old school, copy own command, copy previously ask question, translate text"
9,Screen Sharing,"post picture, post screenshot"
10,Microsoft Copilot Exploration,"explore application, explore topic, explores use, explore microsoft copilot, discover full potential"
11,Annoying Limitations,"encounter issue, encounter problem, encounters annoying limitation"
12,Chat Features,"enable voice feature, enable chat pin, delete chat feature, chat buddy, still chat history, have chat history, chat gpt"
13,Image Generation,"restore old version, install old version, maintain open and positive attitude, maintain reputation, maintain copilot project update, verify age, verify answer, destroy user interface, destroy fantastic software, destroy layout, destroy app, destroy copilot experience, destroy utility, destroy skype, kill functionality, erase previous chat, spread misinformation, throw email, generate picture, generate ai picture, generate one image, generate beautiful image, generate image, generate text, generate speech, generate response, generate nonsense, generate thing, generate pic, see ai generate text, produce graphic warhammer40k type literature piece, create pic, create beneficial machine, create cool scary picture, create picture, create photo, create image, create single image, create company logo, create new conversation, create exact imagination, create fund commitment, create scene, create more feature, create content, create new chat, create perfect vegetarian diet, create artificial intelligence, create such helpful assistant, create caption, create husk, create as beautiful and precise image, create ai image, buy subscription, resolve issue, manage conversation, acquire information, develop app, enhance user experience, achieve good, assess correctness, learn new thing, teach little sister, introduce bug, bind previous experience"
14,Poor Writing,"write long message, write poor content, write email, write poe, produce both write and sound response"
15,Picture Composition,"have chat or compose option, compose picture, convert q"
