Cluster ID,Cluster Name,Feature List
1,Just Opinion/Just Suggestion,"just opinion, just suggestion"
2,Video Conferencing,"very nice pic, very nice post"
3,Very Nice,"very nice app, very very nice app"
4,Online Meeting,"very nice software, very nice application"
5,Very Very Wonderful App,"very wonderful app, very very wonderful app"
6,User Interface,"very good ui, very good shi, very good spp"
7,App Evaluation,"very good ap, very good app"
8,Negative Experience,"terrible experience, awful experience"
9,Communication Apps,"incredible communication app, great communication app"
10,Communication App,"good communicate app, good communicating app"
11,Call App,"nice call app, good call app"
12,Communication Apps,"very helpful app thank, very useful app thank"
13,Thank You,"great app thank, amazing app thank"
14,Positive,"very incredible app, very amazing app"
15,Sentiment,"nice good app, good nice app"
16,Productivity Apps,"good and nice app, nice and good app"
17,Business Communication,"excellent and very helpful app, good and very helpful app"
18,Very Good and Useful App,"very good and useful app, very useful and good app"
19,App Reviews,"amazing and fantastic app, wonderful and amazing app"
20,Chat App,"very helpful app, extremely helpful app"
21,Poor Service,"very poor service, very very poor service"
22,Parent-Child Communication,"message mom, message dad"
23,Experience,"10year experience, 15year experience"
24,Mean Communication,"mean whatsapp, very nice mean, very good mean, good mean, mean communication, try mean"
25,OTP Receive,"not otp receive, receive sort, receive plz"
26,Solve Problem,"solve ishu, solve matter, solve may problem"
27,Copy/Paste,"copy all feature, copy gb feature"
28,Copy,"copy whole or part, basically copy"
29,Replying to Others,"again reply, reply other"
30,Review Management,"not review, review, stop review"
31,Status Updates,"see day, see people status"
32,Note Taking,"note, keep note"
33,Emotion,"describe feel, connect feel, feel way"
34,Watch Game,"watch game, watch earn"
35,Look Up,"good look app, look jkkk ont55, have look, very nice look, good look"
36,Sound,"have sound, sound"
37,Long Duration,"take long time, take several hour, take very long time, take forever, take one full month, take multiple day, take while, take long and very long time, take look"
38,Give Rating,"give only3star, give only1star"
39,Go Video Call,"go more than30second, go vcg, go blackout, go dg, go od app, go whatsapp"
40,Learner Disciplined Farmer,"sweep chat page, learner disciplined farmer"
41,Complaining,"complain, and complain, register complain, disrupt daily activity"
42,Preventing Spread of Information,"prevent private and group chat, prevent spreading"
43,Personal Data Privacy,"change setting, please new setting upload, adjust setting, put setting, check all setting, find setting, add setting, add new privacy setting, use setting"
44,Create Setting,"appreciate create, create setting"
45,Put Actual Year,"put actual year, put stuta, put mb"
46,Social Media,"get lose chat, get good way, get acount, get bit, get logout, get previous what sapp, get full5star, get previous chat, get ironic5star, get otp, get like, get accout, get key, get whatsapp, get prompt, get android, get old chat, get drop down message, get meaning, get well estimate"
47,AI Assistant,"enable sir, enable, enable meta ai"
48,Voice Note,"make, make voice note, make wrong chat"
49,No AI,"remove meta, remove ai, remove liking"
50,Working Applications,"hi working, good working app, have perfectly fine working package, whatsapp why not good working, working whatsapp account, working app"
51,Fill Details,"fill detail, fill status tab"
52,Appreciation,"appreciate fact, appreciate well support, appreciate screen sharing option, appreciate developer"
53,Request Understanding,"just request, request understanding"
54,Community Guidelines Violation,"violate right, violate community guideline"
55,Chat App,"get wat app, like wat app"
56,Do Type,"not type, do type"
57,Mention Facility,"have mention, mention facility"
58,Inclusion,"include plz, include follow"
59,Have Freedom,"have back, have or freedom"
60,Know-When,"know way, know time, know f"
61,Break and Whatsapp Term,"have break, break and whatsapp term"
62,Chat Features,"get whatsapp ai, get meta ai, get whatsapp meta ai, get ai, got meta ai, why can not meta ai, keep ai, connect ai chat, remove meta ai, allow ai, give ai, incorporate ai, include ai, see ai, add ai, like ai function, have ai meta, ai open, open ai, access meta ai, have ai, useless ai, still meta ai feature, very awesome especially ai, disable giant ai icon, lack meta ai, new ai feature, disable ai, psl active meta ai, uninstall meta ai, chat meta ai, get ai meta, not ai, like ai"
63,Meta AI,"work meta ai, show meta ai"
64,Switching between Accounts,"switch camera, switch account option, switch gb whatsapp"
65,Business WhatsApp,"do mistake, whatsapp number business and not mistake please sir whatsapp number"
66,Customer Support,"help wharsapp, help, help account, very help, plz help, set plz help"
67,Data Saving,"data saving, fast and data saving, useful and time saving"
68,Save and Continue,"save time, save no, save draft message, save, save second, save status draft"
69,Fixing Errors,"fix status, fix meta, fix ut, plz fix, fix matter"
70,Account Takeover,"burn many account, be burn"
71,Forget Last Chat,"forget last chat, forget whatsapp"
72,Enjoy AI,"enjoy lot, enjoy ai, enjoy day"
73,Positive Reviews,"very nice helping app, very good helping app"
74,Need,"need offical, have very need, need, need long time, need officel, do need, need ai, need little bit, need break"
75,Want to Complain,"want ai chat, want ai, want complain, want all update, want new wassap theme chat can, want, want useless llm, want meta, want kind, want back up"
76,Hateful Online Communities,"hate channel and community option, hate new way, hate"
77,Set Management,"improve set, like set, set option, try set, set right, have set, affect set, need set"
78,Secure Messaging,"use even load, also load"
79,Usefulness,"use so many year, use little dst, use ap, use less, use meta, use nova3i, very very very very very very very very use full app, very useful widely use app, use fast"
80,Try Different Ways,"try possible way, try many way, try kind, try different way, try app lock"
81,Messaging Notifications,"return unread favorite, fetch well return"
82,Record/Move Chat,"move chat, move record button"
83,Call,"get scam call, get call, make voice call, move call, see history call, enjoy call, want call, decline call, call disturb network, call recevie pl help, do call, call facilitu, chat call, great messaging and call app, call issu, place call, call, disconnect call, please call, have call"
84,Video Calling Quality,"nice app video calling, blurry video calling, poor video calling service, well quality calling video and audio application"
85,Encrypted Messaging App,"encrypt chatting, amazing chatting app, great chatting app"
86,Messaging App,"really great messaging app, great messaging application, good messaging appp, no doubt good messaging app, quiet good good messaging app, very simple messaging app, great free messaging app, good fast and safe messaging app, very good and convenient messaging app, excellent secure family and peer group messaging system, very good messaging app, good messaging app, seriously good messaging app, just good messaging app, excellent messaging app, bad messaging app, great messaging app, good messaging service, easily good messaging app, most well messaging app, easy messaging, very nice messaging app"
