Cluster ID,Cluster Name,Feature List
1,Google Assistant,"like google gemini, like gemini, update gemini, appreciate team gemini, win gemini, outperform gemini, smear digital grease, need cai, like gemini thing, and how about other thing, control smart home thing, need lot, like fact, it really good app, it teacher, need at least10year, lack in depth analysis, rephrase inquiry, like request limit, command gemini response, have full on conversation, like live conversation, answer homework, use for be ona, like application, control google home device, like extension, like gemini program, love live talk option, miss possibility, miss functionality standard, like software, enjoy ai tool, like quiz, like google assitant voice, change voice android, like voice, like female voice, update memory, own android phone, ture phone, demand permission, show mistake, like fix, cover caller name, have drive tone, salamat good to sa answer, have own meaning, call number, like feature, do alright job, like one, get all answer, mind bow, control smart home function, mention problem, post voice note, need change, know spit, like d, awesome ai assistant, great ai gemini, superb ai enhancement, know google, thankyou google, like google, read copy, export entire transcript, delete other chat, chat gtp, like voice chat, open other chat, have seperate chatbot, like app, permote app, good app read, request google gemini ai app, disabile other app, he very usefull app, support family link account, but own account, push user, miss watch, like experience, like way, like old fashioned way, not accurate or correct as chqtgpt many many mistake, break heart, near era, bore ui, helpfull hai, reinstall assistant, fuse google assistant, like google assistant, like assistant, override google assistant, support language, select other language, support meiteilon manipuri language, practice english pronunciation, like bengali, speak arabia, like great result, delete other41ai, recall chat history, like potential, show copy right datum"
2,Democratic Governance,"appraise democratic mobocracy, ps triathlons metalist"
3,Natural Language Processing,"like gpt, use chat gpt"
4,Chatbots,"love both gemini, love new companion, love new british voice, love sound, love many stuff, love it, love ai, love open ai, love live mode, love very nice app, love live chat, love ai buddy, love ai suggestion, love ai microsoft"
5,General Purpose AI,"lock phone, reset phone, switch google assistant, switch payment method, beat other ai app, beat device ai assistant, skip track, enrich decision making power, cancel trial, capture voice, capture word, delay migration, process simple thing, process large amount, limit utility, figure current location, face serious challenge, hand dumb ai, operate mobile app, fantastic usefull easy to operate thankyou android, address current shortcoming, set reminder, set geographic reminder, set timer, set routine, set alarm, set multiple alarm, set gemini, set event, set language, set default language, have cloud base ai, have good ai experience, have one problem, have same problem, have problem, have small problem, have solution, have quick solution, have competition, have very strong ability, have ability, have conversation skill, have same skill, have very clear understanding, have dominance, have reasoning power, have plan, have expert, have capability, have limited capability, have completely different and unique style, have little bit knowledge, have knowledge, have open discussion, have opinion, have suggestion, have restriction, have fast response, have response, have concern, have many mistake, have funny conversation, have so many nice conversation, have conversation, have multiple ongoing conversation, have old thinking, have good time, have hard time, have industrial revolution, have personality, have personality disorder, have english project, have facility, have google pixel google home device, have such useless tool, have one thing, have lot, have word, have idea, have one idea, have very less fact, have other question, have question, have too much trouble, have good answer, have correct answer, have only single voice, have voice, have nice sound voice, have gemini caller i d voice, have google phone, have android phone, have new phone, have cell phone, have two phone, have new good friend, have friend, have body, have memory, have much clarity, have good choice, have great gemini, have gemini, have live option, have option, have smooth support, have nice boss, have enough money, have security breach, have lack, have none, have most interesting brainstorming session, have semi idiot pa, have right, have really nice neighborhood, have emotional depth, have very much more feature, have even more feature, have more feature, have amazing feature, have good feature, have remembrance feature, have special feature, have file upload feature, have voice match feature, have feature, have pleasure, have faith, have nice and nice one, have one, have such low rating, have such good experience, have frustrating experience, have full experience, have enough experience, have experience, have highly disappointing experience, have same function, have search screen function, have zero value, have search button, have little bit, have long way, have early access, have advanced access, have unlimited access, have access, have pro version, have family link, have same issue, have vision issue, have issue, have other gender, have wealth, have advantage, have google gemini advance, have setup hassle, have wonderfulness, have multiple google fi line, have extra information, have great information, have well integration, have good quality, have poor image generation quality, have natural language, have difficulty, have fun, have genius admin assistant, have knowledgeable and versatile ai assistant, have secretary, have intelligence, have good start, have feature parity, have year, have extra little nudge, have potential, have full fruition, include photo, include picture, include malay language support, include long press power button feature, include more feature, include app, get widget, get all require search, get bad wrap, get bloom, get lot, get free trial, get a, get straight a, get google address, get previous name, get quick answer, get correct reliable answer, get proper answer, get really strong answer, get many answer, get chatgpt style answer, get answer, get more message, get message, get pixel phone, get response, get exact response, get useful response, get more accurate response, get good response, get solution, get problem, get million coin, get basic function, get more star, get five star, get all feature, get improvement, get full access, get way, get thinkg, get app, get gemini beta app, get advance, get remainder, get good result, get proper result, get very basic and popular result, get resulte, get information, get very good information, get info, get email, get kiss, get point, get personal counsellor, got one problem, reach point, reach even half, put phone, put own custom voice, put voice activation, put task, put quotation mark, put five star, put file, put information, put persian language, make fast improvement, make improvement, make income, make computer, make list, make about10more list, make note, make review, make really good team, make group, make cartoon character, make ai photo, make gemini, make google, make thing, make brilliant thing, make stuff, make lot, make cool story, make homework, make trouble, make mistake, make same mistake, make silly mistake, make little mistake, make much more mistake, make calendar reminder, make personal greeting, make assignment, make custom routine, make brown stew chicken, make logo, make suggestion, make attempt, make false claim, make so much talk, make own answer, make decision, make several action, make more reliable system, make huge size report, make photo, make beautiful photo, make picture, make ney image, make image, make bad image, make coherent sense, make less sense, make sense, make massive use, make call, make phone call, make whatsapp or other app call, make promotional facebook post, make app, make seperate app, make hindi, make music, make hey gemini, make chilean chili seadog, make video, make good difference, make difference, make excellent source, make primitive kiln, make terrible jpeg, earn trillion absurd gambling, remove gemini, remove lecture aspect, remove google, remove memory, remove name, remove application, remove feature, remove all google assistant feature, remove text, remove app, remove assistant, remove google assistant, remove community mambar, adjust interruption time space, adjust alarm, adjust volume, identify photo, identify image, identify two different captain, investigate gemini, describe upload image, utilize gemini ai, get gemini ai advance trial, showcase impressive language understanding capability, legendary ai, vary good app, restrict free speech, very restrict especially taboo topic, facilitate all educational structure, incorporate ability, incorporate other language, contain advanced knowledge, enable access, enable location service, enable circle, enable google gemini, enable google assistant, allow adult topic, allow voice command, allow app, explain math problem, explain concept, explain same thing, explain whole question, explain thought, explain lay, explain text, explain google search, explain symptom, understand roman urdu, understand urdu, understand tamil language, understand different language, understand language, understand spanish, understand technology, understand statement, understand google home automation key phrase, understand basic question, understand question, understand student question, understand answer, understand word, understand hindi word, understand homework, understand complex notion, understand intent, understand thing, understand most thing, understand request, understand simple word name, understand dulcet northern accent, understand accent, understand indian accent, understand cultural aspect, understand concept, understand topic, understand context, understand problem, understand speech, understand basic command, understand command, understand simpilist command, understand query, understand degenerative disc disease, understand good advicer, understand bangladesh, understand pronounciation, recognize voice, recognize photo, interpret input, interpret traffic lane sign, expect reliable and correct information, expect english, expect more reliable experience, know other dialogue, know own feature, know more advance thing, know many other, know definition, know full form, know basic, know tamol, know monthly subscription, know bangla, argue insanity, refuse so many topic, deliver useless response, respond two question, offer more human like and accurate response, offer correct and accurate answer, offer benefit, offer feature, offer seamless and enjoyable experience, offer smooth user experience, offer information, offer text, forgot conversation, remind gemini, ignore question, ignore negative question, ignore detail, fill trouble, bother google programming, deserve more than five star, deserve even single star, deserve five star, deserve such respect, deserve freedom, appreciate natural and prompt response, appreciate creation, appreciate work, appreciate live feature, appreciate humble google assistant, appreciate app, appreciate selfpromote app, appreciate innovative technology, keep good conversation, keep phone, keep answer, keep long picture, keep company, keep type, keep good work, keep great work, keep brain, keep track, keep two app, keep log, keep old google assistant, keep hey google, keep record, keep correct information, raise important question, raise awareness, raise rating, require late version, require update, require work, require more time, require confidentiality, require above permission, involve they self, catch wrong pronunciation, prefer google, prefer gemini, prefer app, prefer dark mode, prefer more less filter system, prefer integration, prefer one, prefer google assistant and also google assistant solo, prefer classic google assistant, prefer google assistant, prefer native language, select prefer language, prefer chat gpt, see next version, see full version, see text, see new upgrade, see multiple perspective, see capability, see benefit, see great feature, see facial cue, see photo, see picture, see sign, see brother, see one word, see icon, see timer, see error message, see answer, see app, see such useful app, see persian language, see search history, see point, see such useless ai, fix problem, fix error, fix display, fix bug, fix five star, fix issue, fix bad bluetooth audio issue, erase conversation, stop timer, stop conversation, stop gemini pop up, help lot, help person, help image, help loneliness, good help feature, help human, help science, help positivity, get actual help help, save google task, save response, save chat, save chat log, save life, save information, take power, take feedback, take little practice, take action, take time, take so much time, take more time, take much time, take too much time, take small storage space, take phone, take word, take only thing, take real friend, take photo, take picture, take only feature, take test, take constructive criticism, take note, take place, take user, take google assistant, take alot, take shower, take lil peep, take malyalam, take screenshot, take give information, take approved language base, give specific informationbut, give playlist, give good app, give app, give pic, give star, give zero star, give five star, give more star, give extra star, give one star, give full star, give ring, give feature, give all feature, give slight edge, give feeling, give bunch, give lot, give name, give explanation, give suggestion, give lengthy clear announcement, give ability, give how much neglect, give joke, give halluginate statement, give same exact excuse, give hint, give real shift, give short response, give life base response, give verbose response, give random response, give simplified response, give proper response, give such positive feedback, give feedback, give well solution, give task, give useful insight, give deep insight, give insight, give ai capability, give detail, give roleplay script, give voice prompt, give free phone, give time, give nice voice, give direction, give memory, give acceptable answer, give more wrong answer, give concrete answer, give all answer, give well answer, give correct and accurate answer, give same answer, give rellvelant answer, give straight answer, give clear answer, give detailed answer, give aqurate answer, give valid answer, give correct and precise answer, give inaccurate answer, give short answer, give fast answer, give accurate answer, give wrong answer, give clarity answer, give actual answer, give different answer, give good answer, give perfect answer, give irrelevant answer, give perspective answer, give opposite answer, give eaxct answer, give exact answer, give only wrong answer, give right answer, give most appropriate answer, give proper answer, give circle repetitive subjective answer, give full answer, give flowery answer, give correct answer, give answer, give incorrect answer, give great help, give childish idea, give option, give permission, give so many reason, give chance, give great chance, give image, give direct image, give full picture, give wide view, give traffic report, give valuable advise, give forecast, give accurate weather forecast, give previous unit, give how to, give plenty, give five star and congress user, give answer search, give miss, give full phone controll, give root access, give access, give website link, give contact, give detailed update, give low rating, give honest rating, give bad review, give cai vibe, give google assistant, give gemni, give advice, give great advice, give info, give basic info, give right info, give wrong info, give vague info, give information, give whole historical geographical information, give false information, give proper information, give valuable information, give all information, give wrong information, give more accurate information, give more information, give nice information, give great information, give late information, give correct information, give more other information, give good information, give error, give good result, give proper result, give exact result, give result, give lovely result, give accurate result, give well result, give false result, give incorrect result, give political result, give wrong result, give decent summary, give wrong translation, give question paper, give language, give total us population, give example, give dissertation, give valid point, give halfass, give wrong datum, give satisfying result, give correct answerbut, bring more voice, bring vision, bring clarity, bring assistant capability, bring all original functionality, bring google pixel, bring old assistant, bring google assistant, bring update, have both free and pay version, pay google, pay praise, pay attention, pay money, tell problem, tell skill level, tell gemini, tell developer, tell upcoming appointment, tell news, tell thing, tell lot, tell good mention, tell complete opposite, tell answer, tell correct answer, tell most uptodate answer, tell wrong name, tell name, tell blatant lie, tell useful information, very nice and tell correct information, tell good result, tell about gemini, forget thing, forget context, forget hand free help, leave bloody answer, leave viewer, leave stuff, leave option, leave google ecosystem, leave house, leave half information, leave dangerous information, leave importan info, leave wrong talking point, locate steal laptop, steal device datum, connect divisidizm, control other device, control smart device, control smartphone, power ai, very poor language understanding skill, handle simple question, handle simple task, handle very basic command, handle non google datum, push microphone, push particular viewpoint, push gemini, push sand button, enjoy easy vocal search, enjoy app, enjoy question, enjoy live conversation, enjoy voice, enjoy ease, enjoy gemini, enjoy feature, enjoy challenge, enjoy new life, prepare assignment, enhance productivity, enhance specific skill, enhance image, enhance mind, accept request, believe hype, obey simple order, pull interview, pull thing, support leftist or progressive ideology, support normal conversation, support persian, support nepali language, support khmer language, support arabic language, support pop up mode, leak personal information, provide this much thing, provide very less time, provide lyric, provide photo, provide irrefutable evidence, provide all facility, provide informative and comprehensive response, provide very bad response, provide response, provide instant response, provide accurate response, provide feedback, provide lovely solution, provide insight, provide instruction, provide clear answer, provide perfect answer, provide correct answer, provide answer, provide useful answer, provide good answer, provide very nice tip, provide option, provide copy button, provide feature, provide correct one, provide one, provide truly enjoyable experience, provide well user experience, provide language, provide nepali language, provide helpful information, provide wrong information, provide personal information, provide detailed information, provide sufficient information, provide new information, provide more information, provide very authentic information, provide flawed and inaccurate information, provide information, provide good content, provide inaccurate result, provide comprehensive assistance, provide medical advice, provide only link, provide really good assistant, provide formula, provide factual datum, provide actual datum, provide hand free texting, provide source, display information, use malaysian language, use bangla language, use context, use british english, use technology, use google map, use information, use voice note, use apple music, use image, use so much accurate very high quality picture, use voice input, use broad set, use brain, use phrase, use own word, use thing, use full thing, use entire imagination, use microphone, use routine, use simple english vocabulary, use good grasp, use application, use full application, use apple product, use tool, use keyboard voice system, use other program, use less than two sentence, use gem tutor, use youtube music premium, use claude, use android, use iphone, use gemini live, use google gemini, use google gemini live, use gemini, use microsoft beta, use edit icon, use career guidance gem, use pixel bud, use own von, use massive amount, use voice command, use voice control, use account info support, use hand, use pixel bud hand, use google assistant voice, use voice, use male voice, use phone, use british accent, use google gemini live mode, easy to use reliable awesome interactive feature, use feature, use memory feature, use talk feature, use live feature, use hey google, use google, use google web page, use personal profile, use app, use gemini app, use chatgpt app, use google genini app, use less app, use full app, use pixel watch, use gemeni, use bard, use voice assistance, use service, use voice function, use additional personal assistant, use google assistant, use both google assistant, use genie assistant, use friendly assistant, use assistant, very powerful and easy to use assistant, use ful, use gemini advanced, use headphone, use g, use ga, use google asst, use google workspace, use vpn, use internet, use youtube video, use llm, use chatgpt, use gemini ai, use many ai app, use ai chatbot, use note app, use text speak app, use voice to text input, use bixby, use samsung bixby, use fahrenheit, use voice typing, uses service, compare same query, return response, return new pixel, return ai chip, read image, read input, read code, read receieve message, read text message, have read aloud capability, read document, read notification, read whole thing, read thing, read news, read text, read all text, read fine print, read link, read app, read english, check water, check answer, check gemini, check transcript, check email, continue chat, continue conversation, listen word, listen song, choose english language option, choose gemini app, choose language, choose amorality, choose chatgpt, pick phone, pick word, pick audio, pick publicly available datum, try many thing, try prompt, try gemini, try pro gemini, try bard, must try app, try app, try gemni, try claude pro, try acouple ai assistant, find picture, find job, find answer, find question, find bug, find new recipe, find solution, find product, find well auto response, find thing, find steal offline phone, find too many reason, find direction, find location, find scenario, find resume, find song, find more improvement, find pic, find quick information, find information, find youtube video, find cute new gf, seek answer, hide key answer, have very many hide feature, hide donald trump podcast, deny great app, represent diverse accent, pose significant challenge, meet standard, meet expectation, spend more time, follow command, follow proper command, follow information, discuss topic, discuss medicine, discuss election, study nice one gemini, communicate business matter, promote ad, promote app, promote very untrustworthy experience, promote representation, reduce work, resolve problem, assess pdf, evaluate functionality, sell llm, paste more than1photo, explore gemeni, explore knowledge, very engage great discussion, occupy more than5gb storage, convey same level, lack most important property, exceed such attitude, exceed expectation, suggest well possible solution, suggest chat gpt, need minor update, need update, need more update, need more promotion, need true information, need information, need more information, need more info, need meditation program, need bengali language model, need gemini, need ability, need explanation, need more fine tuning, need image generation, need camping tool, need such stupid application, need more functionality, need reliable manageable structure, need more time, need space, need screen translator option, need short answer, need precise answer, need conceptual question, need extremely detailed situational question, need realtime voice, need more beautiful voice, need more realistic voice, need help, need more feature, need more work, need work, need serious work, need ton more work, need voice change, need name change, need vip, need access, need more access, need more development, need further development, need more improvement, need improvement, need lot more improvement, need alittle voice improvement, need some more improvement, need access management, need more experience, need hand free assistant, need google app, need app, need english, need tamil translation, need other language, need good vpn, need more emprovement, need more finesse, need similar widget, need widget, need more acute datum, need more devlopment, need website url, need ui ux upgrade, want google assistant, want assistant, want english, want gemini thing, want more attractive and luxurious filling, want historical fact, want logical objective response, want accurate answer, want help, want previous name, want hand, want garbage, want feature, want beta pro version, want email message and calendar usage, want more update, want change, want improvent, want bard, want other domim, want more specific information, want quick and helpful information, want real information, want text, want technology, want gemini app, want more app, want old homescreen, want third party, need broad and well understand, hate fact, hate you guy, hate solicit review, hate apple intelligence, burn skin, it good ai tool, it great ai tool, it mistake, crazy woke garbage, good free general purpose ai, like similar ai, kill mutation, kill google assistant, kill skynet, destroy android, destroy humanity, destroy userbase, protect privacy, trust ai, trust ai overview, think anything ai, say one thing, say most generic thing, say word, say whole united states army fact, say truth, say reminder, say right answer, say censorship, say mark, say wrong review, say backroom, say nada, say alhamdulillah, say hey gemini not hey google, ask trigonometry table, ask update, ask two simple question, ask complicated question, ask little question, ask first question, ask dame question, ask same question, ask tough question, ask question, ask voice, ask one thing, ask doubt, ask bro, ask payment, ask math problem, ask simple math problem, ask speech, ask google, ask gemini, ask app, ask google assistant, ask gemini live, ask current wthr cond, ask study related question, answer political question, answer all question, answer controversial question, answer certain question, answer mathematic question, answer only three question, answer simple question, answer basic question, answer silly answer, answer adzan time, answer picture, answer all querrie, answer at all question, do basic task, do many task, do simple task, do simple assistant task, do basic image generation, do search screen, do one response, do particular action, do same mistake, do same stuff, do stuff, do most basic stuff, do homework, do so many thing, do thing, do wrong thing, do more thing, do great thing, do half thing, do basic assistant thing, do basic thing, do important thing, do simple thing, do many thing, do something, do lot, do game, do random, do none, do good work, do amazing work, do home work, do well job, do good job, do even most basic feature, do simple calculation, do simple math problem, do error, do basic function, do hell, do image editing, do translation, do english, do simple math, do math, do alot, do lookup, do generalization, do sport, do something assistant relate task, do good one, hit point, look information, break information, break hoe, crack world, rate one star, detect english word, good bit feel, guess name, spell simple word, receive value, receive output, receive photo, receive update, collect personal datum, implement feature, implement memory feature, introduce lite version, throw phone, throw search result, pass university exam, pass exam, add various voice, add arabic voice, add instant touch, add comment, add image section, add two more project, add more fun activity, add stuff, add ability, add automatic scrolling, add game, add gemini, add option, add screen search option, add support, add general knowledge, add screen translation feature, add new feature, add document reading feature, add kore feature, add name change feature, add feature, add google assistant feature, add more than one picture, add extra step, add video button, add function, add more text message quality acquisition, add google assistant, add full screen animation, add more third party integration, add text, add play music, add more local language, add persian language, add bangla language, add tamil language, add nepal language, add malaysia language, add arabic language, add central kurdish, add contact, add date, add variety, add extra vavoom, add tagalog"
6,Language Learning,"learn english language, learn dead language, learn new language, learn english, learn mandarin, learn knowledge, learn new skill, learn multiply interest, learn more command, learn option, learn lot, learn new thing, learn new idea, learn man, learn alot, learn enough impormation, teach whole lot, teach love, speak burmese, speak marathi, speak persian, speak language, speak other language, speak portuguese, speak fluent spanish, speak czech"
7,Force Move,"force ai, force move"
8,Personal Problem Sharing,"share personal problem, post more use"
9,Call,"call stupid program, call people, call place, call specific number, call one, call contact"
10,Hear Voice,"hear only girl voice, hear voice, hear different accent, hear correct name, hear single word, hear voice command, hear gemini, have hear problem, fix hearing problem, feel amazing experience, feel satisfaction, watch youtube video, watch animation, taste amazing picture"
