Cluster ID,Cluster Name,Feature List
1,Play Video Game,"play pojavlaunch, play roblox, play death, play destiny, play game, play video game, play audio file, play animate webp file, play app, play gif, play video"
2,Online Gaming,"enter app, enter voice chat, enter channel, enter discord auth code, enter number, enter birth date, enter few10minute"
3,Software Update,"update phone, update client, update self, update rating, update trash app, update app, update mobile app, update ui, update discord, release useless update, replace discord, replace downgrade, replace password, replace message app, replace skype"
4,Secure Messaging,"show video, show efit history, show captcha question, show full thing, show bunch, show number, show correct spelling, show channel, show option, show threat, show notification, show old message, show new message, show picture, show much issue, show cp, show information, show proof, show gross emoticon, show poop, pass date"
5,Start App,"start screen share, start account, start system, start about15similar app"
6,Discord,"need connection, need privacy, need how much memory, need friend, need help, need hug, need competitor, need more room, need lot, need money, need change, need daily status, need verification, need improvement, need notification bell, need dedicated button, need gift nitro button, need competition app, need function, need assistance, need refund, need free nitro, need nitro, need to much security, want nitro, want potrait, want more money, want gamer boy bath water, want old i d, want static long red button, want garbage update, want proof, need highend phone, hate new interface, hate android, hate new mobile, hate fact, hate layout, hate mobile accessability design, hate user, hate free user, hate mobile user, hate app, hate new ui, hate nex update, hate mobile update, hate new appearance, hate discord, hate new discord, fault idiot, spend time, spend money, spend almost20dollar, guess sarcasm, limit usage, limit file size, limit account, limit free user, boost video thing, reset android notification permission, type real email, type long message, demand steam razor gold game card, demand more privilege, request same information, request password change, capture image, require multiple hard swipe, require phone number, catch ultra rare error, lock nitro, lock previously free feature, switch input device, offer performance set, test fold phone build, face rare error, face login problem, celebrate halloween, showcase new work, have galaxy s24, skip whole mess, break resolution, break notification, break even simple thing, break more thing, break feature, break important feature, break call, break app, break update, break music bot, break community guideline, cut file upload limit, cut half message, throw wildly different error, block people, choose new image, choose browser, choose birthdate, pick voice, pick call, pick game audio, pick audio, pick wrong subscription, check status page, check other channel, check message, check own profile, check status report, check issue, check burmese unicode font, check friend account, check email, check e, check reddit, read request, read message, read receipt, read stuff, read obscure capcha challenge, read review, read email, display completely different result, do display name, take droog, take almost5minute, take action, take thing, take little time, take long time, take very little effort, take space, take more space, take money, take picture, take photo, take phone, take care, take age, take note, take free speech, take more tap, take advantage, take side, take hold, take date, take good functional app, take app, take stupid app, take teamspeak, take more than amonth, take email i d, give bad review, give hundred1star review, give minus rating, give so many issue, give outsider insider vibe, give trouble, give ability, give permission, give response, give canned response, give suggestion, give friend, give answer, give idea, give more privilege, give option, give tech support, give code, give notification, give phone number, give verification number, give zero, give ounce, give chance, give number phone, give money, give account, give zero star, give negative star, give five star, give feature, give experience, give desktop layout, give link, give update, give error, give sms, give email, give old ui, give toggle, give alot, give run, give bonus, give year, pay attention, pay other half, pay money, pay nitro, leave review, leave text, leave voice channel, leave server, leave message, leave call, leave damn thing, leave problem, leave event, leave discord app, leave app, leave countless email, leave discord, leave part, forget laywall thing, forget update, bring old ui, bring og ui, bring ig, bring new bug, bring bug, bring ability, bring old username system, bring search bar, bring feature, bring old one, bring pleasure, bring old app, bring old account, bring sht update, bring notification setting, tell other person, tell mean name, tell wheather, tell negative reviewer, eat so much battery, eat sooo much memory, eat fat wad, enjoy discord app, enjoy app, enjoy discord, save image, save first file, help developer, fix stuff, fix dm stuff, fix thing, fix random bug, fix android bug, fix bug, fix it, fix mic voice, fix voice message, fix shi, fix captcha provider, fix support, fix mobile voice system, fix problem, fix mic problem, fix microphone problem, fix one problem, fix account, fix bluetooth stability, fix discord share issue, fix phone number issue, fix issue, fix mobile app, fix garbage app, fix damn app, fix stupid app, fix horrible app, fix app, fix ui, fix date, fix disgusting update, fix discord, fix buggy app discord, fix avatar decoration, fix plsss, fix verify dead email issue, fix gmail, fix glitch, connect app, connect different youtube account, connect youtube, communicate people, stop app, stop entire app, stop such type, kill mobile version, destroy own app, steal meme, steal personal information, borrow device, consume quite power, handle bug, handle basic messaging, drain battery, drain battery power, push feature, push nitro, hit search, hit bot verification button, accept password, accept invite, accept verification code, accept phone number, accept birthday, accept birth date, accept date, suspend account, recover old account, modify feature, describe experience, describe app, alter own role, affect campaign, discuss more feature, mention all random little bug, not to mention fact, not to mention fun era, mention such difficulty, get notification, get single notification, get double notification, get guidance, get false report, get network problem, get one new problem, get problem, get clyde, get sage, get amazing friend, get nerve, get good android app dev, get gang, get so many bug, get bug, get audio bug, get well logo, get violation, get virus, get thing, get hand, get grubby finger, get message, get error message, get voice message, get reply, get brand new phone, get new phone, get spongebob hat, get two star, get ultra rare error, get ultra super error, get rare error, get error, get issue, get other issue, get idiotic issue, get link, get app, get button, get account, get multiple account, get discord, get lag, get small lag, get bord, get alot, get ad, get nitro, get free nitro, get bot note, get money hungry discord, got forgot password option, got message, got joe goldblum, bug old version, put about5work order, put finger, put phone number, put number, put red dot, put message, put phone, put password, put right password, put birthday, put age, put profit, put guide, put date, put birth date, put birthday date, put update, put email, put dob, put ad, put banner ad, put contact pfp, reach super rare thing, reach point, fill date, fill birth date, fill information, fill form, deserve job, deserve global attention, deserve additional star rating, deserve status, appreciate effort, appreciate convenience, appreciate fact, appreciate idea, appreciate hard work, appreciate security, understand bedtime story, understand insistence, understand gallery implementation, keep review, keep member list, keep old version, keep good work, keep great work, keep hard work, keep app, keep login, raise file limit, raise file size limit, raise complaint, raise rating, brings date, remove unmute indicator, remove ability, remove emoji reaction, remove option, remove half functionality, remove phone number, remove number, remove promote quest, remove status, remove notification, remove acouple thousand user, remove horrible forward button, remove familiar layout, remove star, remove review, remove users voice, remove redirect, prevent member, prevent use, allow so many unnecessary money grub change, allow use, allow only legit server, allow more than one option, allow easy navigation, allow profile customisation, restrict background use, make update, make useless garbage update, make more update, make anti consumer change, make birth date, make profile, make last bad review, make account issue, make own server, make whole nsfw server, make server, make ticket request, make password, make photo, make so many friend, make many good friend, make new friend, make online friend, make friend, make decision, make thread, make story, make lot, make ton, make other option, make sense, make mind, make new account, make account, make whole new account, make group, make mark, make gmail verification, make improvement, make old one, make new one, make kid app, make app, make chat, make way, make ticket, make new ui, make discord, make auto compress, make acc, make new acc, make bot, make banger, make difference, make chatting app, make chat join group, talk app, deliver seamless experience, sell info, have way, have bad side, have straight forward but very user unfriendly interface, have functionality, have multiple device, have android device, have good community, have bad moderation system, have transaction, have support, have apk support, have enough credit, have absolutely none, have approval, have option, have much low bitrate option, have voice sensitivity, have genuine question, have one question, have coherent conversation, have conversation, have random conversation, have great time, have easy time, have kind of good time, have opportunity, have most high end phone, have old phone, have bug, have multiple bug, have very minor bug, have random bug, have quite afew bug, have so many ui bug, have pretty annoying bug, have trouble, have icon, have autism, have intention, have last negative affect, have interest, have free stuff, have thing, have lot, have black dot, have so many awesome friend, have friend, have new message, have server error message, have one idea, have idea, have several piece, have word, have enough storage space, have money, have server, have right password, have reason, have clue, have giant undismissable banner, have daily login streak, have hand, have crash, have slight problem, have similar problem, have problem, have big problem, have different consistent audio problem, have login problem, have technical error, have perfect function, have midnight mode, have halloween event, have bad performance, have illegal content, have advantage, have more storage, have old account, have more group, have support team, have sim card, have so many good feature, have many feature, have camera, have app, have successful app, have dm page button, have button, have so many button, have voice issue, have screen share issue, have weird issue, have small issue, have more and more issue, have mobile push notification issue, have massive network issue, have audio issue, have issue, have multiple issue, have same exact issue, have network issue, have backup issue, have same issue, have two month, have work link, have link, have com, have access, have instant access, have single version, have pc, have well sound quality, have bad sound quality, have experience, have good experience, have most traumatic experience, have buggy experience, have horrible experience, have assistance, have open ticket, have fun, have gripe, have discord, have email, have proof, have s23, have ad, have problem login, have audio, have nitro, have discord nitro, have background thig, have oneplus, have pixel7pro, have poco f5, have privecy issu, have on and off issue, have whatsapp, have gmail, have switch account feature, have many long stand issue, include same half screen bug, include high quality voice, know definition, know problem, know previous topic, know other people, know people, know discord, prefer old profile view, prefer quality, prefer classic old discord, prefer old ui, wipe part, remedy key issue, own one discord account, see video, see review history, see server and dm list, see server member list, see friend activity status, see friend status, see new login location, see most recent message, see ultra rare error message, see message, see new message, see pin message, see error message, see notification, see half screen, see blank channel, see button icon, see stuff, see good thing, see screen sharing, see stream, see so much gore, see pic, see server member, see read recipient, see app, see button, see appeal, see community meme, see ad, see bot, see quarter, join voice channel, join beta, join techno gamers discord server, join as many server, join favourite youtube gamerfleet server, join single server, join discord server, join particular server, join community, join voice chat, join server nahhh app, join voice call, join shawn discord, join discord, join aap, join like community, rejoin call, invite group, invite friend, serve community, overlook all screaming, take daughters account, use dm, use vpn, use s21ultra, use samsung s24, use data, use text, use old version, use less broken pc version, use desktop version, use full benefit, use program, use free discord member, use lot, use bug, use word, use different word, use number, use phone number, use server, use correct password, use device, use microphone, use android, use tablet, use review form, use invisible mode, use split screen mode, use garbage, use flame hot garbage, use improvement, use work, use notification bar, use voice call, use discord call, use chat, use just voice chat, use other app, use mobile app, use more frustrating app, use different app, use app, use account, use gmail account, use main account, use google, use com, use camera function, use new ui, use platform, use camera, use language, use game tester, use discord, use discord mobile, use website, use desktop website, use internet, use old email, use email, use bot, use chromebook, use headphone, use datum, use whatsapp, use vcs, use vc, use dms, use stock android emoji, use emoji, use animate and custom emoji, use poco x6pro, use already exist nitro credit, use same as always good way, consider minor change, add thread search function, add function, add containue, add nonsensical feature, add useless feature, add feature, add image automod feature, add new content, add thing, add simple thing, add useless stuff, add lot, add ability, add connection, add time, add friend, add comment, add option, add other option, add image, add picture, add support, add server, add switch account, add search bar, add app, add more button, add dm tab, add date, add dob, add new bot, add roblox, add deviantart, add venmo, add birthdate, add emoji, add real time snap photo, add custom joining sound effect, say age, say many thing, say rare error, say new location, say good social app, say nword, say racial slur, ask friend, ask sis, ask user, ask mobile number, do all usual troubleshooting procedure, do verification check, do illegal purchase, do bare minimum, do same thing, do weird thing, do all thing, do thing, do certain thing, do wrong thing, do all stuff, do great work, do illegal activity, do job, do good job, do wonderful job, do troubleshooting tip, do google play survey, do video call, do screen share, do game audio, do force stop, do literally all propose solution, try mobile streaming, try multiple browser, try suggestion, try all suggestion, try different device, try single method, try article, try app, try clear cache, try other function, try other way, try various troubleshooting step, try login, try genshin, try to screen share, try force stop, pull act, find alternative, find so many trade, find discoverable server, find solution, find fix, find friend, find many friend, find arena breakout teammate, find random person, find people, find community, find color code, find member list, find ultra error, find new one, find well way, find perfect app, find app, find discover channel compass button, find minor, find many youtuber, search sensitive thing, seek legal matter, seek alternative, resolve issue, resolve bug, develop how many issue, encourage genuine crime, encourage other minor, manage own role, manage large server, manage subscription, minimize app, minimize discord, reduce file upload limit, reduce media upload limit, reduce quality, commit suicide, learn varied game play, teach burmese, introduce metric, provide lite app, provide endless possibility, provide update description, support thing, support bad business, support multiple language translate, ensure smooth performance, receive message notification, receive notification, receive nitro gift, receive message, receive verification code, receive chat, receive rare error, receive error, receive email"
7,Smart Home Automation,"set notification, set simple card, set date, set bidet, ping people"
8,Guided Action,"follow step, follow guide"
9,Forced UI Changes,"force ad, force new ui, force unwanted change, force people, force more and more micro"
10,Secure Communications,"shut internet connection, shut other app, open yourself"
